S No.;Date;App Name;Usage (in Seconds);Launch Count;is Monitoring;is SystemApp;Package Name
1717;2020/03/17;Chrome;727;18;Yes;No;com.android.chrome
1718;2020/03/17;idealista (Uninstalled);76;1;Yes;No;com.idealista.android
1719;2020/03/17;App vault;50;2;No;Yes;com.mi.android.globalpersonalassistant
1720;2020/03/17;Photos;4;1;Yes;No;com.google.android.apps.photos
1721;2020/03/17;EL PAÍS;61;3;Yes;No;com.elpais.elpais
1722;2020/03/17;System UI;14;12;No;Yes;com.android.systemui
1723;2020/03/16;System UI;62;3;No;Yes;com.android.systemui
1724;2020/03/15;System UI;18;7;No;Yes;com.android.systemui
1725;2020/03/15;LinkedIn (Uninstalled);1377;40;Yes;No;com.linkedin.android
1726;2020/03/16;LinkedIn (Uninstalled);1735;37;Yes;No;com.linkedin.android
1727;2020/03/17;LinkedIn (Uninstalled);640;41;Yes;No;com.linkedin.android
1728;2020/03/21;Google Play Store;4;1;Yes;No;com.android.vending
1729;2020/03/19;Gallery;73;11;Yes;No;com.miui.gallery
1730;2020/03/20;Photos;155;1;Yes;No;com.google.android.apps.photos
1731;2020/03/18;Instagram;202;3;Yes;No;com.instagram.android
1732;2020/03/18;Browser;821;4;Yes;No;com.android.browser
1733;2020/03/19;Instagram;5641;51;Yes;No;com.instagram.android
1734;2020/03/19;Browser;518;6;Yes;No;com.android.browser
1735;2020/03/19;Android system;8;3;No;Yes;android
1736;2020/03/18;Android system;1;1;No;Yes;android
1737;2020/03/20;Gallery;21;4;Yes;No;com.miui.gallery
1738;2020/03/20;LinkedIn (Uninstalled);3544;82;Yes;No;com.linkedin.android
1739;2020/03/18;System launcher;694;96;No;Yes;com.miui.home
1740;2020/03/21;LinkedIn (Uninstalled);1892;67;Yes;No;com.linkedin.android
1741;2020/03/21;Instagram;583;9;Yes;No;com.instagram.android
1742;2020/03/19;System launcher;1210;172;No;Yes;com.miui.home
1743;2020/03/20;Instagram;1048;17;Yes;No;com.instagram.android
1744;2020/03/18;Gmail;421;38;Yes;No;com.google.android.gm
1745;2020/03/18;Clock;1026;13;Yes;No;com.android.deskclock
1746;2020/03/18;Google;95;9;Yes;No;com.google.android.googlequicksearchbox
1747;2020/03/19;Clock;560;16;Yes;No;com.android.deskclock
1748;2020/03/19;Gmail;800;44;Yes;No;com.google.android.gm
1749;2020/03/19;Google;403;23;Yes;No;com.google.android.googlequicksearchbox
1750;2020/03/18;Santander;167;1;Yes;No;es.bancosantander.apps
1751;2020/03/21;Calendar;0;1;Yes;No;com.google.android.calendar
1752;2020/03/21;TooGoodToGo;11;1;Yes;No;com.app.tgtg
1753;2020/03/20;System launcher;1701;154;No;Yes;com.miui.home
1754;2020/03/20;Browser;37;1;Yes;No;com.android.browser
1755;2020/03/18;Twitter;10;1;Yes;No;com.twitter.android
1756;2020/03/21;Browser;620;5;Yes;No;com.android.browser
1757;2020/03/21;Drive;68;3;Yes;No;com.google.android.apps.docs
1758;2020/03/19;Twitter;446;5;Yes;No;com.twitter.android
1759;2020/03/21;System launcher;820;104;No;Yes;com.miui.home
1760;2020/03/20;Tinder (Uninstalled);52;1;Yes;No;com.tinder
1761;2020/03/21;WhatsApp;4688;88;Yes;No;com.whatsapp
1762;2020/03/20;WhatsApp;4654;124;Yes;No;com.whatsapp
1763;2020/03/20;Clock;423;10;Yes;No;com.android.deskclock
1764;2020/03/21;Gmail;1323;53;Yes;No;com.google.android.gm
1765;2020/03/20;Gmail;2722;115;Yes;No;com.google.android.gm
1766;2020/03/21;Clock;2028;11;Yes;No;com.android.deskclock
1767;2020/03/19;Tinder (Uninstalled);15;1;Yes;No;com.tinder
1768;2020/03/18;Tinder (Uninstalled);100;2;Yes;No;com.tinder
1769;2020/03/20;Santander;210;2;Yes;No;es.bancosantander.apps
1770;2020/03/20;InfoJobs (Uninstalled);8;3;Yes;No;net.infojobs.mobile.android
1771;2020/03/21;Android system;2;2;No;Yes;android
1772;2020/03/19;WhatsApp;3449;101;Yes;No;com.whatsapp
1773;2020/03/21;Twitter;486;7;Yes;No;com.twitter.android
1774;2020/03/20;Twitter;89;2;Yes;No;com.twitter.android
1775;2020/03/21;Settings;2;1;Yes;No;com.android.settings
1776;2020/03/19;Camera;189;7;Yes;No;com.android.camera
1777;2020/03/21;InfoJobs (Uninstalled);1;1;Yes;No;net.infojobs.mobile.android
1778;2020/03/20;idealista (Uninstalled);15;1;Yes;No;com.idealista.android
1779;2020/03/20;YouTube;108;3;Yes;No;com.google.android.youtube
1780;2020/03/20;Camera;38;3;Yes;No;com.android.camera
1781;2020/03/21;Chrome;627;15;Yes;No;com.android.chrome
1782;2020/03/18;WhatsApp;2564;111;Yes;No;com.whatsapp
1783;2020/03/19;Downloads;15;2;Yes;No;com.android.providers.downloads.ui
1784;2020/03/20;Chrome;392;5;Yes;No;com.android.chrome
1785;2020/03/19;Spotify;621;19;No;No;com.spotify.music
